"Carimbo de data/hora","Qual a renda mensal por membro da sua família?","Qual sua profissão?","Qual o seu programa de pós-graduação?","Curso","Qual seu período?","Você estaria disposto a usar um sistema compartilhamento de bicicletas elétricas para ir/voltar ao seu destino?

Observação: Caso você não seja de Niterói, considere a região de chegada em Niterói.","Quais regiões lhe interessariam ter uma estação de compartilhamento de bicicletas elétricas?

Observações:
1. Use o mapa como referência;
2. Caso você não seja de Niterói, considere as regiões de chegada em Niterói.","Caso você tivesse uma bicicleta elétrica, você estaria disposto a recarrega-la na estação compartilhada?","Você estaria disposto a participar do programa de benefícios?","Você costuma circular entre os campi da UFF?","Como você se locomove entre os campi?

Observação: Se você utiliza o transporte público não vinculado a UFF, como por exemplo a linha de ônibus 47, marque a opção ônibus convencional.","Estaria disposto a utilizar um sistema de compartilhamento de bicicletas elétricas para fazer esse trajeto? Ou para circular dentro do campus?","Quantas viagens típicas você faz durante a semana?","1.1.1 Em qual intervalo de horário você utilizaria o sistema de bicicletas elétricas compartilhadas na sua viagem típica?","1.1.2 Qual o campus de origem da sua viagem típica?

Observação:  Selecionar o mesmo campus na origem e no destino significa que sua circulação se dá apenas dentro do Campus! ","1.1.3 Qual o campus de destino da sua viagem típica?

Observação:  Selecionar o mesmo campus na origem e no destino significa que sua circulação se dá apenas dentro do Campus! ","2.1.1 Em qual intervalo de horário você utilizaria o sistema de bicicletas elétricas compartilhadas na sua primeira viagem típica?","2.1.2 Qual o campus de origem da sua primeira viagem típica?

Observação:  Selecionar o mesmo campus na origem e no destino significa que sua circulação se dá apenas dentro do Campus! ","2.1.3 Qual o campus de destino da sua primeira viagem típica? 

Observação:  Selecionar o mesmo campus na origem e no destino significa que sua circulação se dá apenas dentro do Campus! ","2.2.1 Em qual intervalo de horário você utilizaria o sistema de compartilhamento de bicicletas elétricas compartilhadas na sua segunda viagem típica? ","2.2.2 Qual o campus de origem da sua segunda viagem típica?

Observação:  Selecionar o mesmo campus na origem e no destino significa que sua circulação se dá apenas dentro do Campus! ","2.2.3 Qual o campus de destino da sua segunda viagem típica? 

Observação:  Selecionar o mesmo campus na origem e no destino significa que sua circulação se dá apenas dentro do Campus! ","3.1.1 Em qual intervalo de horário você utilizaria o sistema de bicicletas elétricas compartilhadas na sua primeira viagem típica?","3.1.2 Qual o campus de origem da sua primeira viagem típica?

Observação:  Selecionar o mesmo campus na origem e no destino significa que sua circulação se dá apenas dentro do Campus! ","3.1.3 Qual o campus de destino da sua primeira viagem típica? 

Observação:  Selecionar o mesmo campus na origem e no destino significa que sua circulação se dá apenas dentro do Campus! ","3.2.1  Em qual intervalo de horário você utilizaria o sistema de bicicletas elétricas compartilhadas na sua segunda viagem típica?","3.2.2 Qual o campus de origem da sua segunda viagem típica?

Observação:  Selecionar o mesmo campus na origem e no destino significa que sua circulação se dá apenas dentro do Campus! ","3.2.3 Qual o campus de destino da sua segunda viagem típica? 

Observação:  Selecionar o mesmo campus na origem e no destino significa que sua circulação se dá apenas dentro do Campus! ","3.3.1  Em qual intervalo de horário você utilizaria o sistema de compartilhamento de bicicletas elétricas compartilhadas na sua terceira viagem típica?","3.3.2 Qual o campus de origem da sua terceira viagem típica?

Observação:  Selecionar o mesmo campus na origem e no destino significa que sua circulação se dá apenas dentro do Campus! ","3.3.3 Qual o campus de destino da sua terceira viagem típica? 

Observação:  Selecionar o mesmo campus na origem e no destino significa que sua circulação se dá apenas dentro do Campus! ","4.1.1 Em qual intervalo de horário você utilizaria o sistema de compartilhamento de bicicletas elétricas compartilhadas na sua primeira viagem típica?","4.1.2 Qual o campus de origem da sua primeira viagem típica?

Observação:  Selecionar o mesmo campus na origem e no destino significa que sua circulação se dá apenas dentro do Campus! ","4.1.3 Qual o campus de destino da sua primeira viagem típica? 

Observação:  Selecionar o mesmo campus na origem e no destino significa que sua circulação se dá apenas dentro do Campus! ","4.2.1 Em qual intervalo de horário você utilizaria o sistema de compartilhamento de bicicletas elétricas compartilhadas na sua segunda viagem típica?","4.2.2 Qual o campus de origem da sua segunda viagem típica?

Observação:  Selecionar o mesmo campus na origem e no destino significa que sua circulação se dá apenas dentro do Campus! ","4.2.3 Qual o campus de destino da sua segunda viagem típica?

Observação:  Selecionar o mesmo campus na origem e no destino significa que sua circulação se dá apenas dentro do Campus! ","4.3.1 Em qual intervalo de horário você utilizaria o sistema de compartilhamento de bicicletas elétricas compartilhadas na sua terceira viagem típica?","4.3.2 Qual o seu campus de origem na sua terceira viagem típica?

Observação:  Selecionar o mesmo campus na origem e no destino significa que sua circulação se dá apenas dentro do Campus! ","4.3.3 Qual o seu campus de destino na sua terceira viagem típica?

Observação:  Selecionar o mesmo campus na origem e no destino significa que sua circulação se dá apenas dentro do Campus! ","4.4.1  Em qual intervalo de horário você utilizaria o sistema de compartilhamento de bicicletas elétricas compartilhadas na sua quarta viagem típica?","4.4.2 Qual o campus de origem da sua quarta viagem típica?

Observação:  Selecionar o mesmo campus na origem e no destino significa que sua circulação se dá apenas dentro do Campus! ","4.4.3 Qual o campus de destino da sua quarta viagem típica?

Observação:  Selecionar o mesmo campus na origem e no destino significa que sua circulação se dá apenas dentro do Campus! ","Supondo que o sistema de compartilhamento de bicicletas elétricas seja pago, qual forma de tarifação você acharia mais razoável para esse meio de locomoção?","Quanto você estaria disposto a pagar por esse serviço? 

Considerando aluguel por tempo. (Unidade: R$ por 15 minutos)","Quanto você estaria disposto a pagar por esse serviço? 

Considerando aluguel por distância.
(Unidade: R$ por um km) ","Quanto você estaria disposto a pagar por esse serviço? 

Considerando aluguel por consumo de energia.
(Unidade: R$ por um kWh) ","Quanto você estaria disposto a pagar por esse serviço? 

Considerando aluguel por plano diário.","Quanto você estaria disposto a pagar por esse serviço? 

Considerando aluguel por plano mensal. ","Quanto você estaria disposto a pagar por esse serviço? 

Considerando aluguel por plano anual. ","Que nota você daria para a compreensão do formulário? Considere que 5 é a maior nota.","Qual ou quais perguntas você sentiu dificuldade para compreender? Indique se possuir alguma sugestão."
"2024/04/03 3:12:51 PM GMT-3","Mais de quatro salários mínimos","Professor da UFF","","","","Sim","Centro;Icaraí;Ingá;Região Oceânica;Santa Rosa","Sim","Sim","não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","aluguel por distância","","1","","","","","5",""
"2024/04/03 3:15:41 PM GMT-3","Menos de um salário mínimo","Aluno de Graduação da UFF","","Engenharia Elétrica","3º","Sim","Centro;Ingá","Sim","Sim","sim","Andando","sim","duas vezes","","","","12:00 - 14:00","Campus Praia Vermelha","Campus Gragoatá","16:00 - 18:00","Campus Gragoatá","Campus Praia Vermelha","","","","","","","","","","","","","","","","","","","","","","aluguel por distância","","2","","","","","5",""
"2024/04/03 3:40:53 PM GMT-3","Mais de quatro salários mínimos","Professor da UFF","","","","Sim","Icaraí;Ingá;Região Oceânica;São Francisco","Sim","Sim","não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","aluguel por tempo","1,50","","","","","","5","Opção de múltiplas formas de tarifação. "
"2024/04/03 3:43:32 PM GMT-3","De 3 a 4 salários mínimos","Aluno de Graduação da UFF","","Estatística","2º","Sim","Centro;Icaraí;Ingá","Sim","Sim","sim","Andando;Aplicativo de transporte (Uber,99taxi, etc.)","sim","duas vezes","","","","08:00 - 10:00","Centro (Terminal rodoviário/Barcas)","Campus Gragoatá","08:00 - 10:00","Centro (Terminal rodoviário/Barcas)","Campus Praia Vermelha","","","","","","","","","","","","","","","","","","","","","","plano diário, mensal ou anual","","","","4","30","250","4",""
"2024/04/03 4:24:00 PM GMT-3","De 1 a 2 salários mínimos","Aluno de Graduação da UFF","","Desenho Industrial","11º","Sim","Centro;Icaraí;Ingá","Sim","Não","sim","Andando;BusUFF;Ônibus convencional","sim","duas vezes","","","","06:00 - 08:00","Centro (Terminal rodoviário/Barcas)","Campus Praia Vermelha","16:00 - 18:00","Campus Praia Vermelha","Centro (Terminal rodoviário/Barcas)","","","","","","","","","","","","","","","","","","","","","","plano diário, mensal ou anual","","","","1,5","30,00","350","5",""
"2024/04/03 4:25:19 PM GMT-3","Menos de um salário mínimo","Aluno de Graduação da UFF","","Desenho Industrial","4º","Sim","","Sim","Sim","sim","Andando","sim","três vezes","","","","","","","","","","08:00 - 10:00","Centro (Terminal rodoviário/Barcas)","Campus Praia Vermelha","12:00 - 14:00","Campus Praia Vermelha","Campus Gragoatá","18:00 - 20:00","Campus Praia Vermelha","Centro (Terminal rodoviário/Barcas)","","","","","","","","","","","","","plano diário, mensal ou anual","","","","Para valer a pena, R$5,00 a R$8,00 reais.","R$50","Eu não usaria o ano todo, pois sou do RJ. Então só usaria durante períodos de aula.","5",""
"2024/04/03 5:40:15 PM GMT-3","De 1 a 2 salários mínimos","Aluno de Graduação da UFF","","Matemática","8º","Sim","Centro;Icaraí","Sim","Sim","sim","Andando;Ônibus convencional","sim","quatro vezes","","","","","","","","","","","","","","","","","","","12:00 - 14:00","Campus Gragoatá","Campus Praia Vermelha","16:00 - 18:00","Campus Praia Vermelha","Centro (Terminal rodoviário/Barcas)","12:00 - 14:00","Campus Gragoatá","Campus Praia Vermelha","16:00 - 18:00","Campus Praia Vermelha","Centro (Terminal rodoviário/Barcas)","aluguel por consumo de energia","","","Não sei","","","","4",""
"2024/04/03 5:46:17 PM GMT-3","Menos de um salário mínimo","Aluno de Graduação da UFF","","Jornalismo","8º","Sim","Centro;Icaraí;Ingá;São Francisco","Sim","Sim","sim","Andando;BusUFF","sim","três vezes","","","","","","","","","","16:00 - 18:00","Campus Gragoatá","Campus Gragoatá","18:00 - 20:00","Campus Gragoatá","IACS","20:00 - 22:00","Campus Gragoatá","Campus Gragoatá","","","","","","","","","","","","","plano diário, mensal ou anual","","","","5","50","300","4","Eu senti dificuldade em preencher as páginas de 10 a 13"
"2024/04/03 5:50:27 PM GMT-3","Mais de quatro salários mínimos","Aluno de Graduação da UFF","","Desenho Industrial","5º","Sim","Centro;Icaraí;Ingá","Sim","Sim","não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","aluguel por distância","","5","","","","","4",""
"2024/04/03 5:55:54 PM GMT-3","Mais de quatro salários mínimos","Aluno de Graduação da UFF","","Ciências Econômicas","2º","Não","","","","sim","Andando","não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","A pergunta relacionada a se sou de Niterói ou não. "
"2024/04/03 6:02:47 PM GMT-3","Mais de quatro salários mínimos","Aluno de Graduação da UFF","","Estatística","5º","Sim","Centro","Sim","Sim","sim","Carro/Moto","sim","uma vez","10:00 - 12:00","Campus Gragoatá","Centro (Terminal rodoviário/Barcas)","","","","","","","","","","","","","","","","","","","","","","","","","","","","plano diário, mensal ou anual","","","","5,00","50","300","5",""
"2024/04/03 6:25:34 PM GMT-3","Mais de quatro salários mínimos","Aluno de Graduação da UFF","","Ciências Econômicas","2º","Sim","Centro;Fonseca;Ingá","Sim","Sim","sim","Andando;Carro/Moto;Ônibus convencional","sim","quatro vezes","","","","","","","","","","","","","","","","","","","16:00 - 18:00","Centro (Terminal rodoviário/Barcas)","Campus Gragoatá","20:00 - 22:00","Campus Gragoatá","Centro (Terminal rodoviário/Barcas)","Depois das 22:00","Campus Gragoatá","Centro (Terminal rodoviário/Barcas)","16:00 - 18:00","Centro (Terminal rodoviário/Barcas)","Reitoria","plano diário, mensal ou anual","","","","4,30","33,99","250,00","4",""
"2024/04/03 6:33:18 PM GMT-3","Menos de um salário mínimo","Aluno de Graduação da UFF","","Engenharia Elétrica","3º","Sim","Centro;Icaraí;Ingá","Sim","Sim","sim","Andando;Bicicleta/Skate/Patinete","sim","duas vezes","","","","12:00 - 14:00","Campus Praia Vermelha","Campus Gragoatá","12:00 - 14:00","Campus Praia Vermelha","Campus Gragoatá","","","","","","","","","","","","","","","","","","","","","","aluguel por tempo","R$ 2,00","","","","","","5",""
"2024/04/03 6:34:15 PM GMT-3","Mais de quatro salários mínimos","Aluno de Graduação da UFF","","Engenharia de Recursos Hídricos e do Meio Ambiente","3º","Sim","Centro","Sim","Sim","sim","Ônibus convencional","sim","duas vezes","","","","06:00 - 08:00","Campus Praia Vermelha","Campus Valonguinho","12:00 - 14:00","Campus Valonguinho","Campus Praia Vermelha","","","","","","","","","","","","","","","","","","","","","","plano diário, mensal ou anual","","","","10","50","nao sei","4",""
